Representative,Party,District,State,Start,End,Start_Year,End_Year,Duration,Duration_simple,Congress,Congress_Start,Congress_End,Incumbancy
David Dreier,Republican,26th,California,2003-01-03,2013-01-03,2003,2013,3653 days,10.008219178082191,112,2011,2013,8
Anna Eshoo,Democratic,14th,California,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,112,2011,2013,18
Sam Farr,Democratic,17th,California,1993-06-08,2013-01-03,1993,2013,7149 days,19.586301369863012,112,2011,2013,18
Elton Gallegly,Republican,24th,California,2003-01-03,2013-01-03,2003,2013,3653 days,10.008219178082191,112,2011,2013,8
John Garamendi,Democratic,10th,California,2009-11-05,2013-01-03,2009,2013,1155 days,3.164383561643836,112,2011,2013,2
Janice Hahn,Democratic,36th,California,2011-07-12,2013-01-03,2011,2013,541 days,1.4821917808219178,112,2011,2013,0
Wally Herger,Republican,2nd,California,1987-01-03,2013-01-03,1987,2013,9497 days,26.019178082191782,112,2011,2013,24
Mike Honda,Democratic,15th,California,2001-01-03,2013-01-03,2001,2013,4383 days,12.008219178082191,112,2011,2013,10
Duncan D. Hunter,Republican,52nd,California,2009-01-03,2013-01-03,2009,2013,1461 days,4.002739726027397,112,2011,2013,2
Darrell Issa,Republican,49th,California,2003-01-03,2019-01-03,2003,2019,5844 days,16.01095890410959,112,2011,2013,8
Barbara Lee,Democratic,9th,California,1998-04-07,2013-01-03,1998,2013,5385 days,14.753424657534246,112,2011,2013,13
Jerry Lewis,Republican,41st,California,2003-01-03,2013-01-03,2003,2013,3653 days,10.008219178082191,112,2011,2013,8
Zoe Lofgren,Democratic,16th,California,1995-01-03,2013-01-03,1995,2013,6575 days,18.013698630136986,112,2011,2013,16
Dan Lungren,Republican,3rd,California,2005-01-03,2013-01-03,2005,2013,2922 days,8.005479452054795,112,2011,2013,6
Doris Matsui,Democratic,5th,California,2005-03-08,2013-01-03,2005,2013,2858 days,7.83013698630137,112,2011,2013,6
Kevin McCarthy,Republican,22nd,California,2007-01-03,2013-01-03,2007,2013,2192 days,6.005479452054795,112,2011,2013,4
Tom McClintock,Republican,4th,California,2009-01-03,2021-11-28,2009,2021,4712 days,12.90958904109589,112,2011,2013,2
Howard McKeon,Republican,25th,California,1993-01-03,2015-01-03,1993,2015,8035 days,22.013698630136986,112,2011,2013,18
Jerry McNerney,Democratic,11th,California,2007-01-03,2013-01-03,2007,2013,2192 days,6.005479452054795,112,2011,2013,4
Gary Miller,Republican,42nd,California,2003-01-03,2013-01-03,2003,2013,3653 days,10.008219178082191,112,2011,2013,8
George Miller,Democratic,7th,California,1975-01-03,2013-01-03,1975,2013,13880 days,38.02739726027397,112,2011,2013,36
Grace Napolitano,Democratic,38th,California,2003-01-03,2013-01-03,2003,2013,3653 days,10.008219178082191,112,2011,2013,8
Devin Nunes,Republican,21st,California,2003-01-03,2013-01-03,2003,2013,3653 days,10.008219178082191,112,2011,2013,8
Nancy Pelosi,Democratic,8th,California,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,112,2011,2013,18
Laura Richardson,Democratic,37th,California,2007-08-21,2013-01-03,2007,2013,1962 days,5.375342465753425,112,2011,2013,4
Dana Rohrabacher,Republican,46th,California,2003-01-03,2013-01-03,2003,2013,3653 days,10.008219178082191,112,2011,2013,8
Lucille Roybal-Allard,Democratic,34th,California,2003-01-03,2013-01-03,2003,2013,3653 days,10.008219178082191,112,2011,2013,8
Ed Royce,Republican,40th,California,2003-01-03,2013-01-03,2003,2013,3653 days,10.008219178082191,112,2011,2013,8
Linda Sánchez,Democratic,39th,California,2003-01-03,2013-01-03,2003,2013,3653 days,10.008219178082191,112,2011,2013,8
Loretta Sanchez,Democratic,47th,California,2003-01-03,2013-01-03,2003,2013,3653 days,10.008219178082191,112,2011,2013,8
Adam Schiff,Democratic,29th,California,2003-01-03,2013-01-03,2003,2013,3653 days,10.008219178082191,112,2011,2013,8
Brad Sherman,Democratic,27th,California,2003-01-03,2013-01-03,2003,2013,3653 days,10.008219178082191,112,2011,2013,8
Jackie Speier,Democratic,12th,California,2008-04-10,2013-01-03,2008,2013,1729 days,4.736986301369863,112,2011,2013,3
Pete Stark,Democratic,13th,California,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,112,2011,2013,18
Mike Thompson,Democratic,1st,California,1999-01-03,2013-01-03,1999,2013,5114 days,14.01095890410959,112,2011,2013,12
Maxine Waters,Democratic,35th,California,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,112,2011,2013,18
Henry Waxman,Democratic,30th,California,2003-01-03,2013-01-03,2003,2013,3653 days,10.008219178082191,112,2011,2013,8
Lynn Woolsey,Democratic,6th,California,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,112,2011,2013,18
Mike Coffman,Republican,6th,Colorado,2009-01-03,2019-01-03,2009,2019,3652 days,10.005479452054795,112,2011,2013,2
Diana DeGette,Democratic,1st,Colorado,1997-01-03,2021-11-28,1997,2021,9095 days,24.91780821917808,112,2011,2013,14
Cory Gardner,Republican,4th,Colorado,2011-01-03,2015-01-03,2011,2015,1461 days,4.002739726027397,112,2011,2013,0
Doug Lamborn,Republican,5th,Colorado,2007-01-03,2021-11-28,2007,2021,5443 days,14.912328767123288,112,2011,2013,4
Ed Perlmutter,Democratic,7th,Colorado,2007-01-03,2021-11-28,2007,2021,5443 days,14.912328767123288,112,2011,2013,4
Jared Polis,Democratic,2nd,Colorado,2009-01-03,2019-01-03,2009,2019,3652 days,10.005479452054795,112,2011,2013,2
Scott Tipton,Republican,3rd,Colorado,2011-01-03,2021-01-03,2011,2021,3653 days,10.008219178082191,112,2011,2013,0
Joe Courtney,Democratic,2nd,Connecticut,2007-01-03,2021-11-28,2007,2021,5443 days,14.912328767123288,112,2011,2013,4
Rosa DeLauro,Democratic,3rd,Connecticut,1991-01-03,2021-11-28,1991,2021,11287 days,30.923287671232877,112,2011,2013,20
Jim Himes,Democratic,4th,Connecticut,2009-01-03,2021-11-28,2009,2021,4712 days,12.90958904109589,112,2011,2013,2
John B. Larson,Democratic,1st,Connecticut,1999-01-03,2021-11-28,1999,2021,8365 days,22.91780821917808,112,2011,2013,12
Chris Murphy,Democratic,5th,Connecticut,2007-01-03,2013-01-03,2007,2013,2192 days,6.005479452054795,112,2011,2013,4
Sandy Adams,Republican,24th,Florida,2011-01-03,2013-01-03,2011,2013,731 days,2.0027397260273974,112,2011,2013,0
Gus Bilirakis,Republican,9th,Florida,2007-01-03,2013-01-03,2007,2013,2192 days,6.005479452054795,112,2011,2013,4
Corrine Brown,Democratic,3rd,Florida,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,112,2011,2013,18
Vern Buchanan,Republican,13th,Florida,2007-01-03,2013-01-03,2007,2013,2192 days,6.005479452054795,112,2011,2013,4
Kathy Castor,Democratic,11th,Florida,2007-01-03,2013-01-03,2007,2013,2192 days,6.005479452054795,112,2011,2013,4
Ander Crenshaw,Republican,4th,Florida,2001-01-03,2017-01-03,2001,2017,5844 days,16.01095890410959,112,2011,2013,10
Ted Deutch,Democratic,19th,Florida,2010-04-13,2013-01-03,2010,2013,996 days,2.728767123287671,112,2011,2013,1
Mario Díaz-Balart,Republican,21st,Florida,2011-01-03,2013-01-03,2011,2013,731 days,2.0027397260273974,112,2011,2013,0
Alcee Hastings,Democratic,23rd,Florida,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,112,2011,2013,18
Connie Mack IV,Republican,14th,Florida,2005-01-03,2013-01-03,2005,2013,2922 days,8.005479452054795,112,2011,2013,6
John Mica,Republican,7th,Florida,1993-01-03,2017-01-03,1993,2017,8766 days,24.016438356164382,112,2011,2013,18
Jeff Miller,Republican,1st,Florida,2001-10-16,2017-01-03,2001,2017,5558 days,15.227397260273973,112,2011,2013,10
Rich Nugent,Republican,5th,Florida,2011-01-03,2013-01-03,2011,2013,731 days,2.0027397260273974,112,2011,2013,0
Bill Posey,Republican,15th,Florida,2009-01-03,2013-01-03,2009,2013,1461 days,4.002739726027397,112,2011,2013,2
David Rivera,Republican,25th,Florida,2011-01-03,2013-01-03,2011,2013,731 days,2.0027397260273974,112,2011,2013,0
Tom Rooney,Republican,16th,Florida,2009-01-03,2013-01-03,2009,2013,1461 days,4.002739726027397,112,2011,2013,2
Ileana Ros-Lehtinen,Republican,18th,Florida,1989-08-29,2013-01-03,1989,2013,8528 days,23.364383561643837,112,2011,2013,22
Dennis A. Ross,Republican,14th,Florida,2011-01-03,2013-01-03,2011,2013,731 days,2.0027397260273974,112,2011,2013,0
Steve Southerland,Republican,2nd,Florida,2011-01-03,2015-01-03,2011,2015,1461 days,4.002739726027397,112,2011,2013,0
Cliff Stearns,Republican,6th,Florida,1989-01-03,2013-01-03,1989,2013,8766 days,24.016438356164382,112,2011,2013,22
Debbie Wasserman Schultz,Democratic,20th,Florida,2005-01-03,2013-01-03,2005,2013,2922 days,8.005479452054795,112,2011,2013,6
Daniel Webster,Republican,8th,Florida,2011-01-03,2013-01-03,2011,2013,731 days,2.0027397260273974,112,2011,2013,0
Allen West,Republican,22nd,Florida,2011-01-03,2013-01-03,2011,2013,731 days,2.0027397260273974,112,2011,2013,0
Frederica Wilson,Democratic,17th,Florida,2011-01-03,2013-01-03,2011,2013,731 days,2.0027397260273974,112,2011,2013,0
Bill Young,Republican,10th,Florida,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,112,2011,2013,18
Raúl Labrador,Republican,1st,Idaho,2011-01-03,2019-01-03,2011,2019,2922 days,8.005479452054795,112,2011,2013,0
Mike Simpson,Republican,2nd,Idaho,1999-01-03,2021-11-28,1999,2021,8365 days,22.91780821917808,112,2011,2013,12
Judy Biggert,Republican,13th,Illinois,1999-01-03,2013-01-03,1999,2013,5114 days,14.01095890410959,112,2011,2013,12
Jerry F. Costello,Democratic,12th,Illinois,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,112,2011,2013,18
Danny K. Davis,Democratic,7th,Illinois,1997-01-03,2021-11-28,1997,2021,9095 days,24.91780821917808,112,2011,2013,14
Robert Dold,Republican,10th,Illinois,2011-01-03,2013-01-03,2011,2013,731 days,2.0027397260273974,112,2011,2013,0
Luis V. Gutierrez,Democratic,4th,Illinois,1993-01-03,2019-01-03,1993,2019,9496 days,26.016438356164382,112,2011,2013,18
Randy Hultgren,Republican,14th,Illinois,2011-01-03,2019-01-03,2011,2019,2922 days,8.005479452054795,112,2011,2013,0
Tim Johnson,Republican,15th,Illinois,2001-01-03,2013-01-03,2001,2013,4383 days,12.008219178082191,112,2011,2013,10
Adam Kinzinger,Republican,11th,Illinois,2011-01-03,2013-01-03,2011,2013,731 days,2.0027397260273974,112,2011,2013,0
Dan Lipinski,Democratic,3rd,Illinois,2005-01-03,2021-01-03,2005,2021,5844 days,16.01095890410959,112,2011,2013,6
Donald A. Manzullo,Republican,16th,Illinois,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,112,2011,2013,18
Michael Quigley,Democratic,5th,Illinois,2009-04-07,2021-11-28,2009,2021,4618 days,12.652054794520549,112,2011,2013,2
Peter Roskam,Republican,6th,Illinois,2007-01-03,2019-01-03,2007,2019,4383 days,12.008219178082191,112,2011,2013,4
Bobby Rush,Democratic,1st,Illinois,1993-01-03,2021-11-28,1993,2021,10556 days,28.92054794520548,112,2011,2013,18
Janice D. Schakowsky,Democratic,9th,Illinois,1999-01-03,2021-11-28,1999,2021,8365 days,22.91780821917808,112,2011,2013,12
Bobby Schilling,Republican,17th,Illinois,2011-01-03,2013-01-03,2011,2013,731 days,2.0027397260273974,112,2011,2013,0
Aaron Schock,Republican,18th,Illinois,2009-01-03,2015-03-31,2009,2015,2278 days,6.241095890410959,112,2011,2013,2
John Shimkus,Republican,19th,Illinois,2003-01-03,2013-01-03,2003,2013,3653 days,10.008219178082191,112,2011,2013,8
Joe Walsh,Republican,8th,Illinois,2011-01-03,2013-01-03,2011,2013,731 days,2.0027397260273974,112,2011,2013,0
Larry Bucshon,Republican,8th,Indiana,2011-01-03,2021-11-28,2011,2021,3982 days,10.90958904109589,112,2011,2013,0
Dan Burton,Republican,5th,Indiana,2003-01-03,2013-01-03,2003,2013,3653 days,10.008219178082191,112,2011,2013,8
André Carson,Democratic,7th,Indiana,2008-03-11,2021-11-28,2008,2021,5010 days,13.726027397260275,112,2011,2013,3
Joe Donnelly,Democratic,2nd,Indiana,2007-01-03,2013-01-03,2007,2013,2192 days,6.005479452054795,112,2011,2013,4
Mike Pence,Republican,6th,Indiana,2003-01-03,2013-01-03,2003,2013,3653 days,10.008219178082191,112,2011,2013,8
Todd Rokita,Republican,4th,Indiana,2011-01-03,2019-01-03,2011,2019,2922 days,8.005479452054795,112,2011,2013,0
Marlin Stutzman,Republican,3rd,Indiana,2010-11-16,2017-01-03,2010,2017,2240 days,6.136986301369863,112,2011,2013,1
Pete Visclosky,Democratic,1st,Indiana,1985-01-03,2021-01-03,1985,2021,13149 days,36.02465753424657,112,2011,2013,26
Todd Young,Republican,9th,Indiana,2011-01-03,2017-01-03,2011,2017,2192 days,6.005479452054795,112,2011,2013,0
Leonard Boswell,Democratic,3rd,Iowa,1997-01-03,2013-01-03,1997,2013,5844 days,16.01095890410959,112,2011,2013,14
Bruce Braley,Democratic,1st,Iowa,2007-01-03,2015-01-03,2007,2015,2922 days,8.005479452054795,112,2011,2013,4
Steve King,Republican,5th,Iowa,2003-01-03,2013-01-03,2003,2013,3653 days,10.008219178082191,112,2011,2013,8
Tom Latham,Republican,4th,Iowa,2003-01-03,2013-01-03,2003,2013,3653 days,10.008219178082191,112,2011,2013,8
Dave Loebsack,Democratic,2nd,Iowa,2007-01-03,2021-01-03,2007,2021,5114 days,14.01095890410959,112,2011,2013,4
Ben Chandler,Democratic,6th,Kentucky,2004-02-17,2013-01-03,2004,2013,3243 days,8.884931506849314,112,2011,2013,7
Brett Guthrie,Republican,2nd,Kentucky,2009-01-03,2021-11-28,2009,2021,4712 days,12.90958904109589,112,2011,2013,2
Hal Rogers,Republican,5th,Kentucky,1981-01-03,2021-11-28,1981,2021,14939 days,40.92876712328767,112,2011,2013,30
Ed Whitfield,Republican,1st,Kentucky,1995-01-03,2016-09-06,1995,2016,7917 days,21.69041095890411,112,2011,2013,16
John Yarmuth,Democratic,3rd,Kentucky,2007-01-03,2021-11-28,2007,2021,5443 days,14.912328767123288,112,2011,2013,4
Rodney Alexander,Republican,5th,Louisiana,2004-08-09,2013-09-26,2004,2013,3335 days,9.136986301369863,112,2011,2013,7
Charles Boustany,Republican,7th,Louisiana,2005-01-03,2013-01-03,2005,2013,2922 days,8.005479452054795,112,2011,2013,6
Bill Cassidy,Republican,6th,Louisiana,2009-01-03,2015-01-03,2009,2015,2191 days,6.002739726027397,112,2011,2013,2
John Fleming,Republican,4th,Louisiana,2009-01-03,2017-01-03,2009,2017,2922 days,8.005479452054795,112,2011,2013,2
Jeff Landry,Republican,3rd,Louisiana,2011-01-03,2013-01-03,2011,2013,731 days,2.0027397260273974,112,2011,2013,0
Cedric Richmond,Democratic,2nd,Louisiana,2011-01-03,2021-01-15,2011,2021,3665 days,10.04109589041096,112,2011,2013,0
Steve Scalise,Republican,1st,Louisiana,2008-05-03,2021-11-28,2008,2021,4957 days,13.580821917808219,112,2011,2013,3
Roscoe Bartlett,Republican,6th,Maryland,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,112,2011,2013,18
Elijah Cummings,Democratic,7th,Maryland,1996-04-16,2019-10-17,1996,2019,8584 days,23.517808219178082,112,2011,2013,15
Donna Edwards,Democratic,4th,Maryland,2008-06-17,2017-01-03,2008,2017,3122 days,8.553424657534247,112,2011,2013,3
Andrew P. Harris,Republican,1st,Maryland,2011-01-03,2021-11-28,2011,2021,3982 days,10.90958904109589,112,2011,2013,0
Steny Hoyer,Democratic,5th,Maryland,1981-05-19,2021-11-28,1981,2021,14803 days,40.556164383561644,112,2011,2013,30
Dutch Ruppersberger,Democratic,2nd,Maryland,2003-01-03,2021-11-28,2003,2021,6904 days,18.915068493150685,112,2011,2013,8
John Sarbanes,Democratic,3rd,Maryland,2007-01-03,2021-11-28,2007,2021,5443 days,14.912328767123288,112,2011,2013,4
Chris Van Hollen,Democratic,8th,Maryland,2003-01-03,2017-01-03,2003,2017,5114 days,14.01095890410959,112,2011,2013,8
Mike Capuano,Democratic,8th,Massachusetts,1999-01-03,2013-01-03,1999,2013,5114 days,14.01095890410959,112,2011,2013,12
Barney Frank,Democratic,4th,Massachusetts,1981-01-03,2013-01-03,1981,2013,11688 days,32.02191780821918,112,2011,2013,30
William R. Keating,Democratic,10th,Massachusetts,2011-01-03,2013-01-03,2011,2013,731 days,2.0027397260273974,112,2011,2013,0
Stephen Lynch,Democratic,9th,Massachusetts,2001-10-16,2013-01-03,2001,2013,4097 days,11.224657534246575,112,2011,2013,10
Ed Markey,Democratic,7th,Massachusetts,1976-11-02,2013-01-03,1976,2013,13211 days,36.1945205479452,112,2011,2013,35
Jim McGovern,Democratic,3rd,Massachusetts,1997-01-03,2013-01-03,1997,2013,5844 days,16.01095890410959,112,2011,2013,14
Richard Neal,Democratic,2nd,Massachusetts,1989-01-03,2013-01-03,1989,2013,8766 days,24.016438356164382,112,2011,2013,22
John Olver,Democratic,1st,Massachusetts,1991-06-04,2013-01-03,1991,2013,7884 days,21.6,112,2011,2013,20
John F. Tierney,Democratic,6th,Massachusetts,1997-01-03,2015-01-03,1997,2015,6574 days,18.01095890410959,112,2011,2013,14
Niki Tsongas,Democratic,5th,Massachusetts,2007-10-18,2013-01-03,2007,2013,1904 days,5.2164383561643834,112,2011,2013,4
Justin Amash,Republican,3rd,Michigan,2011-01-03,2019-07-04,2011,2019,3104 days,8.504109589041096,112,2011,2013,0
Dan Benishek,Republican,1st,Michigan,2011-01-03,2017-01-03,2011,2017,2192 days,6.005479452054795,112,2011,2013,0
Dave Camp,Republican,4th,Michigan,1993-01-03,2015-01-03,1993,2015,8035 days,22.013698630136986,112,2011,2013,18
Hansen Clarke,Democratic,13th,Michigan,2011-01-03,2013-01-03,2011,2013,731 days,2.0027397260273974,112,2011,2013,0
John Conyers,Democratic,14th,Michigan,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,112,2011,2013,18
John Dingell,Democratic,15th,Michigan,2003-01-03,2013-01-03,2003,2013,3653 days,10.008219178082191,112,2011,2013,8
Bill Huizenga,Republican,2nd,Michigan,2011-01-03,2021-11-28,2011,2021,3982 days,10.90958904109589,112,2011,2013,0
Dale E. Kildee,Democratic,5th,Michigan,2003-01-03,2013-01-03,2003,2013,3653 days,10.008219178082191,112,2011,2013,8
Sander M. Levin,Democratic,12th,Michigan,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,112,2011,2013,18
Candice Miller,Republican,10th,Michigan,2003-01-03,2016-12-31,2003,2016,5111 days,14.002739726027396,112,2011,2013,8
Gary Peters,Democratic,9th,Michigan,2009-01-03,2013-01-03,2009,2013,1461 days,4.002739726027397,112,2011,2013,2
Mike Rogers,Republican,8th,Michigan,2001-01-03,2015-01-03,2001,2015,5113 days,14.008219178082191,112,2011,2013,10
Fred Upton,Republican,6th,Michigan,1993-01-03,2021-11-28,1993,2021,10556 days,28.92054794520548,112,2011,2013,18
Tim Walberg,Republican,7th,Michigan,2011-01-03,2021-11-28,2011,2021,3982 days,10.90958904109589,112,2011,2013,0
Michele Bachmann,Republican,6th,Minnesota,2007-01-03,2015-01-03,2007,2015,2922 days,8.005479452054795,112,2011,2013,4
Chip Cravaack,Republican,8th,Minnesota,2011-01-03,2013-01-03,2011,2013,731 days,2.0027397260273974,112,2011,2013,0
Keith Ellison,Democratic–Farmer–Labor,5th,Minnesota,2007-01-03,2019-01-03,2007,2019,4383 days,12.008219178082191,112,2011,2013,4
John Kline,Republican,2nd,Minnesota,2003-01-03,2017-01-03,2003,2017,5114 days,14.01095890410959,112,2011,2013,8
Betty McCollum,Democratic–Farmer–Labor,4th,Minnesota,2001-01-03,2021-11-28,2001,2021,7634 days,20.915068493150685,112,2011,2013,10
Erik Paulsen,Republican,3rd,Minnesota,2009-01-03,2019-01-03,2009,2019,3652 days,10.005479452054795,112,2011,2013,2
Collin Peterson,Democratic–Farmer–Labor,7th,Minnesota,1991-01-03,2021-01-03,1991,2021,10958 days,30.02191780821918,112,2011,2013,20
Tim Walz,Democratic–Farmer–Labor,1st,Minnesota,2007-01-03,2019-01-03,2007,2019,4383 days,12.008219178082191,112,2011,2013,4
Gregg Harper,Republican,3rd,Mississippi,2009-01-03,2019-01-03,2009,2019,3652 days,10.005479452054795,112,2011,2013,2
Alan Nunnelee,Republican,1st,Mississippi,2011-01-03,2015-02-06,2011,2015,1495 days,4.095890410958904,112,2011,2013,0
Steven Palazzo,Republican,4th,Mississippi,2011-01-03,2021-11-28,2011,2021,3982 days,10.90958904109589,112,2011,2013,0
Bennie Thompson,Democratic,2nd,Mississippi,1993-04-13,2021-11-28,1993,2021,10456 days,28.646575342465752,112,2011,2013,18
Todd Akin,Republican,2nd,Missouri,2001-01-03,2013-01-03,2001,2013,4383 days,12.008219178082191,112,2011,2013,10
Russ Carnahan,Democratic,3rd,Missouri,2005-01-03,2013-01-03,2005,2013,2922 days,8.005479452054795,112,2011,2013,6
William Lacy Clay Jr.,Democratic,1st,Missouri,2001-01-03,2021-01-03,2001,2021,7305 days,20.013698630136986,112,2011,2013,10
Emanuel Cleaver,Democratic,5th,Missouri,2005-01-03,2021-11-28,2005,2021,6173 days,16.912328767123288,112,2011,2013,6
Jo Ann Emerson,Republican,8th,Missouri,1997-01-08,2013-01-22,1997,2013,5858 days,16.04931506849315,112,2011,2013,14
Sam Graves,Republican,6th,Missouri,2001-01-03,2021-11-28,2001,2021,7634 days,20.915068493150685,112,2011,2013,10
Vicky Hartzler,Republican,4th,Missouri,2011-01-03,2021-11-28,2011,2021,3982 days,10.90958904109589,112,2011,2013,0
Billy Long,Republican,7th,Missouri,2011-01-03,2021-11-28,2011,2021,3982 days,10.90958904109589,112,2011,2013,0
Blaine Luetkemeyer,Republican,9th,Missouri,2009-01-03,2013-01-03,2009,2013,1461 days,4.002739726027397,112,2011,2013,2
Dennis Rehberg,Republican,At-large,Montana,2001-01-03,2013-01-03,2001,2013,4383 days,12.008219178082191,112,2011,2013,10
Jeff Fortenberry,Republican,1st,Nebraska,2005-01-03,2021-11-28,2005,2021,6173 days,16.912328767123288,112,2011,2013,6
Adrian Smith,Republican,3rd,Nebraska,2007-01-03,2021-11-28,2007,2021,5443 days,14.912328767123288,112,2011,2013,4
Lee Terry,Republican,2nd,Nebraska,1999-01-03,2015-01-03,1999,2015,5844 days,16.01095890410959,112,2011,2013,12
Charlie Bass,Republican,2nd,New_Hampshire,2011-01-03,2013-01-03,2011,2013,731 days,2.0027397260273974,112,2011,2013,0
Frank Guinta,Republican,1st,New_Hampshire,2011-01-03,2013-01-03,2011,2013,731 days,2.0027397260273974,112,2011,2013,0
Rob Andrews,Democratic,1st,New_Jersey,1990-01-01,2014-01-01,1990,2014,8766 days,24.016438356164382,112,2011,2013,21
Rodney Frelinghuysen,Republican,11th,New_Jersey,1995-01-01,2019-01-01,1995,2019,8766 days,24.016438356164382,112,2011,2013,16
Scott Garrett,Republican,5th,New_Jersey,2003-01-01,2017-01-01,2003,2017,5114 days,14.01095890410959,112,2011,2013,8
Rush D. Holt Jr.,Democratic,12th,New_Jersey,1999-01-01,2015-01-01,1999,2015,5844 days,16.01095890410959,112,2011,2013,12
Leonard Lance,Republican,7th,New_Jersey,2009-01-01,2019-01-01,2009,2019,3652 days,10.005479452054795,112,2011,2013,2
Frank LoBiondo,Republican,2nd,New_Jersey,1995-01-01,2019-01-01,1995,2019,8766 days,24.016438356164382,112,2011,2013,16
Frank Pallone,Democratic,6th,New_Jersey,1993-01-01,2021-11-28,1993,2021,10558 days,28.926027397260274,112,2011,2013,18
Bill Pascrell,Democratic,8th,New_Jersey,1997-01-01,2013-01-01,1997,2013,5844 days,16.01095890410959,112,2011,2013,14
Steve Rothman,Democratic,9th,New_Jersey,1997-01-01,2013-01-01,1997,2013,5844 days,16.01095890410959,112,2011,2013,14
Jon Runyan,Republican,3rd,New_Jersey,2011-01-01,2015-01-01,2011,2015,1461 days,4.002739726027397,112,2011,2013,0
Albio Sires,Democratic,13th,New_Jersey,2006-01-01,2013-01-01,2006,2013,2557 days,7.005479452054795,112,2011,2013,5
Chris Smith,Republican,4th,New_Jersey,1981-01-01,2021-11-28,1981,2021,14941 days,40.93424657534246,112,2011,2013,30
Martin Heinrich,Democratic,1st,New_Mexico,2009-01-03,2013-01-03,2009,2013,1461 days,4.002739726027397,112,2011,2013,2
Ben R. Luján,Democratic,3rd,New_Mexico,2009-01-03,2021-01-03,2009,2021,4383 days,12.008219178082191,112,2011,2013,2
Steve Pearce,Republican,2nd,New_Mexico,2011-01-03,2019-01-03,2011,2019,2922 days,8.005479452054795,112,2011,2013,0
Gary Ackerman,Democratic,5th,New_York,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,112,2011,2013,18
Tim Bishop,Democratic,1st,New_York,2003-01-03,2015-01-03,2003,2015,4383 days,12.008219178082191,112,2011,2013,8
Ann Marie Buerkle,Republican,25th,New_York,2011-01-03,2013-01-03,2011,2013,731 days,2.0027397260273974,112,2011,2013,0
Yvette Clarke,Democratic,11th,New_York,2007-01-03,2013-01-03,2007,2013,2192 days,6.005479452054795,112,2011,2013,4
Joe Crowley,Democratic,7th,New_York,1999-01-03,2013-01-03,1999,2013,5114 days,14.01095890410959,112,2011,2013,12
Eliot Engel,Democratic,17th,New_York,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,112,2011,2013,18
Chris Gibson,Republican,20th,New_York,2011-01-03,2013-01-03,2011,2013,731 days,2.0027397260273974,112,2011,2013,0
Michael Grimm,Republican,13th,New_York,2011-01-03,2013-01-03,2011,2013,731 days,2.0027397260273974,112,2011,2013,0
Richard L. Hanna,Republican,24th,New_York,2011-01-03,2013-01-03,2011,2013,731 days,2.0027397260273974,112,2011,2013,0
Nan Hayworth,Republican,19th,New_York,2011-01-03,2013-01-03,2011,2013,731 days,2.0027397260273974,112,2011,2013,0
Brian Higgins,Democratic,27th,New_York,2005-01-03,2013-01-03,2005,2013,2922 days,8.005479452054795,112,2011,2013,6
Maurice Hinchey,Democratic,22nd,New_York,2003-01-03,2013-01-03,2003,2013,3653 days,10.008219178082191,112,2011,2013,8
Kathy Hochul,Democratic,26th,New_York,2011-06-01,2013-01-03,2011,2013,582 days,1.5945205479452054,112,2011,2013,0
Steve Israel,Democratic,2nd,New_York,2001-01-03,2013-01-03,2001,2013,4383 days,12.008219178082191,112,2011,2013,10
Peter T. King,Republican,3rd,New_York,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,112,2011,2013,18
Nita Lowey,Democratic,18th,New_York,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,112,2011,2013,18
Carolyn Maloney,Democratic,14th,New_York,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,112,2011,2013,18
Carolyn McCarthy,Democratic,4th,New_York,1997-01-03,2015-01-03,1997,2015,6574 days,18.01095890410959,112,2011,2013,14
Gregory W. Meeks,Democratic,6th,New_York,1998-02-03,2013-01-03,1998,2013,5448 days,14.926027397260274,112,2011,2013,13
Jerrold Nadler,Democratic,8th,New_York,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,112,2011,2013,18
Bill Owens,Democratic,23rd,New_York,2009-11-03,2013-01-03,2009,2013,1157 days,3.16986301369863,112,2011,2013,2
Charles B. Rangel,Democratic,15th,New_York,1993-01-03,2013-01-03,1993,2013,7305 days,20.013698630136986,112,2011,2013,18
